"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.92426846822883e-85,0.646270729713388,0.58,0.435,7.04301502056434e-81,"0","GPSM3"
2.46787879642642e-85,0.306420385273471,0.658,0.545,9.03268318280032e-81,"0","SMCHD1"
1.12859789181997e-83,0.894329855381689,0.4,0.277,4.13078114385028e-79,"0","LMBRD1"
2.29088942512331e-83,0.635764143821868,0.427,0.293,8.38488438489382e-79,"0","ADK"
3.99686703559242e-83,0.777151597896824,0.341,0.21,1.46289330369718e-78,"0","CAPG"
9.14435984479864e-83,0.72946246391148,0.578,0.486,3.34692714679475e-78,"0","EIF4B"
1.38690383787895e-80,0.945207445528843,0.508,0.423,5.07620673702075e-76,"0","SELENOH"
2.8539648810065e-80,0.324172057678961,0.447,0.291,1.04457968609719e-75,"0","PDE7A"
4.6278621725291e-80,1.16401226581547,0.266,0.158,1.69384383376738e-75,"0","CCDC50"
5.30174566202933e-80,0.696074309776613,0.356,0.23,1.94049192975935e-75,"0","SEL1L3"
4.29083152618583e-79,0.922305195594036,0.455,0.347,1.57048724689927e-74,"0","SNX3"
4.51423695837358e-79,1.54664120720969,0.277,0.172,1.65225586913431e-74,"0","EIF1AY"
1.05441758248933e-78,0.680781527727787,0.34,0.21,3.8592737936692e-74,"0","ITPR1"
8.1914679996162e-78,0.977157171648265,0.253,0.145,2.99815920253952e-73,"0","RAB30"
2.25397200321622e-77,0.89103786039801,0.362,0.238,8.24976292897169e-73,"0","CSK"
1.84116787264997e-76,1.20947891549988,0.281,0.173,6.73885853068615e-72,"0","PWP1"
8.24968868610939e-76,0.967387544400918,0.311,0.192,3.0194685560029e-71,"0","GABPB1-AS1"
2.10971949503012e-72,1.19941967788451,0.331,0.228,7.72178432375976e-68,"0","SMARCB1"
3.80919795141573e-71,0.631551191862473,0.273,0.158,1.39420454219767e-66,"0","PHACTR1"
4.14242854435209e-71,0.669120144103614,0.579,0.491,1.51617027151831e-66,"0","PNISR"
1.19993701405334e-70,0.450805786229552,0.571,0.432,4.39188946513663e-66,"0","TAGAP"
9.6942225385772e-70,0.398101104004911,0.281,0.16,3.54818239134464e-65,"0","CARD11"
2.39430900712927e-69,1.38882146262299,0.253,0.154,8.76341039699385e-65,"0","BLOC1S2"
3.40540487146804e-69,0.509714944478319,0.731,0.673,1.24641223700602e-64,"0","HNRNPDL"
4.70831547423248e-69,1.06013516633413,0.314,0.21,1.72329054672383e-64,"0","CNPPD1"
3.11800393316567e-68,1.03206325101931,0.274,0.168,1.14122061957797e-63,"0","SP140L"
1.76749936604601e-67,0.746127312190896,0.32,0.206,6.46922442966501e-63,"0","PARP14"
5.73467564006911e-67,0.649751274396078,0.602,0.522,2.09894863102169e-62,"0","EIF3H"
5.74395518930946e-67,0.973302230732349,0.376,0.269,2.10234503883915e-62,"0","MTPN"
9.75232976388989e-67,0.93958963386131,0.277,0.172,3.56945021688134e-62,"0","SNHG1"
1.46503128808056e-66,0.442754274940293,0.742,0.695,5.36216101750367e-62,"0","COX7C"
1.067764757503e-65,0.845067356077638,0.263,0.158,3.90812578893674e-61,"0","DMXL1"
6.25381967137787e-65,0.979976593908111,0.273,0.168,2.28896053792101e-60,"0","NT5C3A"
4.07124190858861e-63,0.390141441514742,0.467,0.339,1.49011525096252e-58,"0","TNFAIP8"
2.64004732111453e-61,0.491517589225441,0.258,0.156,9.66283720001128e-57,"0","SETBP1"
1.24605015971064e-59,0.549504460535051,0.647,0.603,4.5606681895569e-55,"0","RPS17"
2.13008540819804e-59,0.8158712415829,0.554,0.536,7.79632560254565e-55,"0","RPS4Y1"
